alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,lat,long
mercado-hollywood-los-angeles,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 34.13166, 'longitude': -118.35262}",(323) 512-2500,8303.47251003813,bKeJWK8yxAo0x5y_0kGyVA,https://s3-media2.fl.yelpcdn.com/bphoto/o_Oi0Vj3CysoKGDj7ONXGg/o.jpg,False,"{'address1': '3413 Cahuenga Blvd W', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90068', 'country': 'US', 'state': 'CA', 'display_address': ['3413 Cahuenga Blvd W', 'Los Angeles, CA 90068']}",Mercado Hollywood,+13235122500,$$$,4.5,673,['delivery'],https://www.yelp.com/biz/mercado-hollywood-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.13166,-118.35262
h-cafe-los-angeles,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 34.057597, 'longitude': -118.2977468}",(213) 389-6140,2221.948607376574,AX-hRDB8zpIHKMix9VqB8g,https://s3-media1.fl.yelpcdn.com/bphoto/MU0_tA6wvmNYEU5MMwYCpQ/o.jpg,False,"{'address1': '3200 W 8th St', 'address2': None, 'address3': None, 'city': 'Los Angeles', 'zip_code': '90005', 'country': 'US', 'state': 'CA', 'display_address': ['3200 W 8th St', 'Los Angeles, CA 90005']}",H Cafe,+12133896140,$$,4.5,465,"['delivery', 'pickup']",https://www.yelp.com/biz/h-cafe-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.057597,-118.2977468
blue-palms-brewhouse-los-angeles,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 34.1015151, 'longitude': -118.3233109}",(323) 464-2337,4436.9667969497905,lve4JGg7Kk5k4s9h7aMaUw,https://s3-media2.fl.yelpcdn.com/bphoto/K8qXroY6SyQ8mWjZGzV-og/o.jpg,False,"{'address1': '6124 Hollywood Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90028', 'country': 'US', 'state': 'CA', 'display_address': ['6124 Hollywood Blvd', 'Los Angeles, CA 90028']}",Blue Palms Brewhouse,+13234642337,$$,4.0,862,"['delivery', 'pickup']",https://www.yelp.com/biz/blue-palms-brewhouse-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.1015151,-118.3233109
the-penthouse-at-mastros-beverly-hills,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'lounges', 'title': 'Lounges'}]","{'latitude': 34.0689333, 'longitude': -118.3987465}",(310) 888-8782,7173.096241182559,oZn4oaOKOI-HcUGecfG4Vw,https://s3-media2.fl.yelpcdn.com/bphoto/-zlW4kdNxHuyD8Rv8VQTMg/o.jpg,False,"{'address1': '246 N Canon Dr', 'address2': 'Fl 3', 'address3': '', 'city': 'Beverly Hills', 'zip_code': '90210', 'country': 'US', 'state': 'CA', 'display_address': ['246 N Canon Dr', 'Fl 3', 'Beverly Hills, CA 90210']}",The Penthouse at Mastro's,+13108888782,$$$$,4.0,4650,['delivery'],https://www.yelp.com/biz/the-penthouse-at-mastros-beverly-hills?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.0689333,-118.3987465
pour-haus-wine-bar-los-angeles,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 34.03545, 'longitude': -118.2338486}",(213) 357-0176,8575.375335248951,c2QZmOUhNm8rB1L-XvCvcQ,https://s3-media2.fl.yelpcdn.com/bphoto/IvBBHzWmQo1PyeieXJ-84g/o.jpg,False,"{'address1': '1820 Industrial St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90021', 'country': 'US', 'state': 'CA', 'display_address': ['1820 Industrial St', 'Los Angeles, CA 90021']}",Pour Haus Wine Bar,+12133570176,$$,4.5,509,['delivery'],https://www.yelp.com/biz/pour-haus-wine-bar-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.03545,-118.2338486
the-burrow-los-angeles,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]","{'latitude': 34.04701, 'longitude': -118.26082}",(213) 784-3050,5820.384083236491,1lxtw52CJ9ip6VqQCzt2Fw,https://s3-media2.fl.yelpcdn.com/bphoto/-QEUtMTk2bSiNuYnKY0mCA/o.jpg,False,"{'address1': '821 S Flower St', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90017', 'country': 'US', 'state': 'CA', 'display_address': ['821 S Flower St', 'Los Angeles, CA 90017']}",The Burrow,+12137843050,$$,5.0,258,"['delivery', 'restaurant_reservation']",https://www.yelp.com/biz/the-burrow-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.04701,-118.26082
el-carmen-los-angeles,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 34.0720873, 'longitude': -118.367282}",(323) 852-1552,4386.247730989834,rX4XXEwzSea-EJxuMYAFvw,https://s3-media3.fl.yelpcdn.com/bphoto/SrHzFICyG8ilJOrAR74zVA/o.jpg,False,"{'address1': '8138 W 3rd St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90048', 'country': 'US', 'state': 'CA', 'display_address': ['8138 W 3rd St', 'Los Angeles, CA 90048']}",El Carmen,+13238521552,$$,4.0,954,['delivery'],https://www.yelp.com/biz/el-carmen-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.0720873,-118.367282
industriel-los-angeles,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 34.0486928, 'longitude': -118.2556854}",(213) 488-8020,6219.735736473406,rG2Z5U0XAyItBBxRh6QiWA,https://s3-media2.fl.yelpcdn.com/bphoto/nT126qlrNoLxPYz2msodqg/o.jpg,False,"{'address1': '609 S Grand Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90017', 'country': 'US', 'state': 'CA', 'display_address': ['609 S Grand Ave', 'Los Angeles, CA 90017']}",Industriel,+12134888020,$$,4.0,1288,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/industriel-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.0486928,-118.2556854
arts-district-brewing-company-los-angeles,"[{'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breweries', 'title': 'Breweries'}]","{'latitude': 34.0446217616778, 'longitude': -118.235323801466}",(213) 519-5887,8149.564328844013,zrA3Jo1oQZU7BvQyhKjdDg,https://s3-media1.fl.yelpcdn.com/bphoto/5xo-Bqt9Uv9mUj20pBU3sg/o.jpg,False,"{'address1': '828 Traction Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['828 Traction Ave', 'Los Angeles, CA 90013']}",Arts District Brewing Company,+12135195887,$$,4.0,1003,"['delivery', 'pickup']",https://www.yelp.com/biz/arts-district-brewing-company-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.0446217616778,-118.235323801466
westside-tavern-los-angeles,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 34.039642, 'longitude': -118.428946}",(310) 470-1539,10206.039638805056,4LptA7lZJLKMuEgT6ZzMxQ,https://s3-media1.fl.yelpcdn.com/bphoto/rInf5d3WgFrCCDD4M1VjEQ/o.jpg,False,"{'address1': '10850 W Pico Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['10850 W Pico Blvd', 'Los Angeles, CA 90064']}",Westside Tavern,+13104701539,$$,4.0,1458,['delivery'],https://www.yelp.com/biz/westside-tavern-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.039642,-118.428946
pace-los-angeles-3,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 34.10906, 'longitude': -118.3697}",(323) 654-8583,6884.811112152462,LlaXbuPQBsRXjZFEx5Wkjw,https://s3-media2.fl.yelpcdn.com/bphoto/ziZGFSWql_O9tpuz62TZoA/o.jpg,False,"{'address1': '2100 Laurel Canyon Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90046', 'country': 'US', 'state': 'CA', 'display_address': ['2100 Laurel Canyon Blvd', 'Los Angeles, CA 90046']}",Pace,+13236548583,$$$,4.0,918,"['delivery', 'restaurant_reservation']",https://www.yelp.com/biz/pace-los-angeles-3?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.10906,-118.3697
tam-o-shanter-los-angeles-2,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]","{'latitude': 34.125675145001, 'longitude': -118.264257899961}",(323) 664-0228,8857.06226927977,cJ_-7MywlZgLvvsS4u7jaQ,https://s3-media1.fl.yelpcdn.com/bphoto/TsGcIrOGpz5jaFLVlgFO6g/o.jpg,False,"{'address1': '2980 Los Feliz Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90039', 'country': 'US', 'state': 'CA', 'display_address': ['2980 Los Feliz Blvd', 'Los Angeles, CA 90039']}",Tam O'Shanter,+13236640228,$$$,4.0,1396,['delivery'],https://www.yelp.com/biz/tam-o-shanter-los-angeles-2?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.125675145001,-118.264257899961
kanpai-japanese-sushi-bar-and-grill-los-angeles,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 33.96185, 'longitude': -118.4214}",(310) 338-7223,14414.256201182208,kDMsnq59lJAjMX1baGJPEA,https://s3-media1.fl.yelpcdn.com/bphoto/YEgdXfNJcm5NOFg9eEhi_A/o.jpg,False,"{'address1': '8325 Lincoln Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90045', 'country': 'US', 'state': 'CA', 'display_address': ['8325 Lincoln Blvd', 'Los Angeles, CA 90045']}",Kanpai Japanese Sushi Bar & Grill,+13103387223,$$$,4.0,1424,['restaurant_reservation'],https://www.yelp.com/biz/kanpai-japanese-sushi-bar-and-grill-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,33.96185,-118.4214
dama-los-angeles-6,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 34.0352819442964, 'longitude': -118.253066191412}",(213) 741-0612,6940.532537820249,-9NXuo0g_NwOPfnKX3Vr_g,https://s3-media2.fl.yelpcdn.com/bphoto/3m8Z--fOw15J4PoP5EPugQ/o.jpg,False,"{'address1': '612 E 11th St', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90015', 'country': 'US', 'state': 'CA', 'display_address': ['612 E 11th St', 'Los Angeles, CA 90015']}",DAMA,+12137410612,$$$,4.5,404,"['delivery', 'pickup']",https://www.yelp.com/biz/dama-los-angeles-6?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.0352819442964,-118.253066191412
the-semi-tropic-los-angeles,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}]","{'latitude': 34.07998, 'longitude': -118.25979}",(213) 568-3827,6026.700631674647,h3KzTYozazMtdhS8C1qBXg,https://s3-media3.fl.yelpcdn.com/bphoto/Dw4_tSzlYUQYDB2lIpbSoA/o.jpg,False,"{'address1': '1412 Glendale Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90026', 'country': 'US', 'state': 'CA', 'display_address': ['1412 Glendale Blvd', 'Los Angeles, CA 90026']}",The Semi-Tropic,+12135683827,$$,4.5,392,"['delivery', 'pickup']",https://www.yelp.com/biz/the-semi-tropic-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.07998,-118.25979
sol-mexican-cocina-los-angeles-3,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 33.97607616706, 'longitude': -118.416961589194}",(424) 289-0066,12962.072281498158,VscSML6lgNgjJbm41Jqjog,https://s3-media4.fl.yelpcdn.com/bphoto/VzfWhm944uJ6raV3XRoUDA/o.jpg,False,"{'address1': '12775 W Millennium Dr', 'address2': 'Ste 160', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90094', 'country': 'US', 'state': 'CA', 'display_address': ['12775 W Millennium Dr', 'Ste 160', 'Los Angeles, CA 90094']}",SOL Mexican Cocina,+14242890066,$$,4.0,1217,[],https://www.yelp.com/biz/sol-mexican-cocina-los-angeles-3?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,33.97607616706,-118.416961589194
bar-ama-los-angeles,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newmexican', 'title': 'New Mexican Cuisine'}]","{'latitude': 34.0483374, 'longitude': -118.2477806}",(213) 687-8002,6923.569136544229,SGr-W_g4ecqkkEweCc1RVg,https://s3-media1.fl.yelpcdn.com/bphoto/XQhfvyptmGUnib_UFdvMJQ/o.jpg,False,"{'address1': '118 W 4th St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['118 W 4th St', 'Los Angeles, CA 90013']}",BAR Ama,+12136878002,$$,4.0,1208,"['delivery', 'pickup']",https://www.yelp.com/biz/bar-ama-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.0483374,-118.2477806
a-simple-bar-los-angeles,"[{'alias': 'bars', 'title': 'Bars'}]","{'latitude': 34.1299, 'longitude': -118.34882}",(323) 378-5388,8014.3904149769805,qD3-5yqSyPiz-VpJtPsnkg,https://s3-media2.fl.yelpcdn.com/bphoto/JYcRYDteiyjLh3dSAj7fCg/o.jpg,False,"{'address1': '3256 Cahuenga Blvd W', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90068', 'country': 'US', 'state': 'CA', 'display_address': ['3256 Cahuenga Blvd W', 'Los Angeles, CA 90068']}",A Simple Bar,+13233785388,$$,4.5,306,[],https://www.yelp.com/biz/a-simple-bar-los-angeles?adjust_creative=5qqcMYzSx5kiXGxs0PXU2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5qqcMYzSx5kiXGxs0PXU2w,34.1299,-118.34882
